timestamp,mode,action_type,symbol,action,price,volume_usd,leverage,margin_used,fee_usd,pnl_usd,roe_pct,confidence,balance_after
2026-08-13 19:50:37,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,1885.995,684.71,20,32.95,0.0685,0.0,0.0,0.1172,99.93
2026-08-13 23:50:37,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,1885.935,684.71,20,32.95,0.2739,-0.02,-0.07,1.0,99.64
2026-08-14 00:31:32,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,76.035,682.02,19,34.37,0.0682,0.0,0.0,0.1113,99.57
2026-08-14 03:57:44,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.745,682.02,19,34.37,0.2728,-2.6,-7.57,1.0,96.69
2026-08-14 06:48:32,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.64500000000001,700.28,20,33.95,0.07,0.0,0.0,0.1201,96.62
2026-08-14 10:48:32,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.405,700.28,20,33.95,0.2801,-2.22,-6.54,1.0,94.12
2026-08-14 16:06:31,PAPER,ACILIS,ETHUSDT,LIMIT_BUY,1882.5149999999999,704.89,21,33.05,0.0705,0.0,0.0,0.1055,94.05
2026-08-14 18:08:43,PAPER,KAPANIS,ETHUSDT,MARKET_SELL,1876.255,704.89,21,33.05,0.282,-2.34,-7.09,1.0,91.43
2026-08-14 21:27:55,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.195,654.97,20,32.24,0.0655,0.0,0.0,0.1055,91.36
2026-08-15 01:27:55,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.345,654.97,20,32.24,0.262,1.31,4.05,1.0,92.4
2026-08-15 02:10:42,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.39500000000001,617.49,20,30.87,0.0617,0.0,0.0,0.1084,92.34
2026-08-15 06:10:42,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.32499999999999,617.49,20,30.87,0.247,-0.57,-1.86,1.0,91.52
2026-08-15 07:24:31,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.275,596.75,19,30.01,0.0597,0.0,0.0,0.1406,91.46
2026-08-15 11:24:32,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.255,596.75,19,30.01,0.2387,-0.16,-0.53,1.0,91.07
2026-08-15 13:35:27,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.495,657.41,20,32.12,0.0657,0.0,0.0,0.1084,91.0
2026-08-15 17:35:28,PAPER,KAPANIS,SOLUSDT,MARKET_SELL,75.525,657.41,20,32.12,0.263,0.26,0.81,1.0,91.0
2026-08-15 17:51:08,PAPER,ACILIS,SOLUSDT,LIMIT_BUY,75.58500000000001,629.72,19,31.67,0.063,0.0,0.0,0.123,90.93
